locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
marriott.com,,3590 Grandview Parkway,Birmingham,Alabama,35243,USA,,+1 205-968-3775,Hotel,,33.436518,-86.718458,
marriott.com,,101 St. Andrews Drive,Williamsburg,Virginia,23188,USA,,+1 757-258-1120,Hotel,,37.303588,-76.782928,
marriott.com,,1750 West Loop South,Houston,Texas,77027,USA,,+1 713-960-0111,Hotel,,29.749668,-95.456443,
marriott.com,,"Liman Mahallesi Ataturk Bulvari No:55, Ilkadim",Samsun,,55100,Turkey,,+90 362 312 00 00,Hotel,,41.316038,36.33536,
marriott.com,,35 Clarks Road,Amesbury,Massachusetts,01913,USA,,+1 978-388-3400,Hotel,,42.844295,-70.909385,
marriott.com,,500 Paddy Creek Circle,Rochester,New York,14615,USA,,+1 585-865-2090,Hotel,,43.205004,-77.67328,
marriott.com,,1295 US Highway 1,Avenel,New Jersey,07001,USA,,+1 732-396-9700,Hotel,,40.593535,-74.273717,
marriott.com,,Avenida de Aragon No 400,Madrid,,28022,Spain,,+34 914 00 44 00,Hotel,,40.449057,-3.558685,
marriott.com,,300 Ted Turner Drive NW,Atlanta,Georgia,30308,USA,,+1 678-515-0300,Hotel,,33.76281,-84.389763,
marriott.com,,1333 South Rural Road,Tempe,Arizona,85281,USA,,+1 480-968-3451,Hotel,,33.413723,-111.92604,
marriott.com,,400 David Hollowell Drive,Newark,Delaware,19716,USA,,+1 302-737-0900,Hotel,,39.687971,-75.759457,
marriott.com,,5059 Hopyard Road,Pleasanton,California,94588,USA,,+1 925-463-1414,Hotel,,37.694212,-121.903604,
marriott.com,,7415 East 41st Avenue,Denver,Colorado,80216,USA,,+1 303-333-3303,Hotel,,39.775101,-104.902437,
marriott.com,,Im Zollhof 5,Ludwigshafen am Rhein,,67061,Germany,,+49 621 37909007,Hotel,,49.484142,8.449386,
marriott.com,,14668 Duval Road,Jacksonville,Florida,32218,USA,,+1 904-741-1122,Hotel,,30.481662,-81.647512,
marriott.com,,"Avenida El Canal, Edificio Hotel de Golf Maracay, Urbanizacion Cantarrana",Maracay,,2102,Venezuela,,+58 243-2446222,Hotel,,10.28735,-67.579389,
marriott.com,,980 Midnight Pass,Lexington,Kentucky,40513,USA,,+1 859-368-9491,Hotel,,38.018083,-84.556994,
marriott.com,,Chemin des Palettes 14,Rougemont,,1659,Switzerland,,+41 26 921 01 01,Hotel,,46.4867,7.1986,
marriott.com,,5851 Rogerdale Road,Houston,Texas,77072,USA,,+1 832-300-0200,Hotel,,29.714778,-95.560237,
